Region,Subregion,Total,Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
South_East,Mid Kent,719,175,47,53,44,7,NA,5,53,62,75,21,58,10,137,NA,136,678,202,456,643
South_East,West Kent,617,121,36,43,34,5,0,NA,40,56,44,13,72,9,137,NA,121,582,153,438,556
South_West,"Bristol, City of",26,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,25,NA,12,20
South_West,"Bath and North East Somerset, North Somerset and South Gloucestershire","1,315",198,84,146,50,NA,10,NA,19,68,39,10,164,NA,101,5,86,"1,286",358,689,"1,166"
South_West,Gloucestershire,"2,252",626,237,341,106,39,45,46,137,355,144,32,327,51,226,6,416,"2,178",786,"1,386","1,982"
South_West,Swindon,134,40,NA,34,8,NA,0,0,NA,22,NA,0,19,NA,NA,0,34,124,52,84,117
South_West,Wiltshire,"2,295",643,287,484,180,47,10,19,194,328,153,55,405,69,127,16,453,"2,211",724,"1,292","1,812"
South_West,Bournemouth and Poole,14,NA,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,NA,14,NA,6,13
South_West,Dorset CC,"1,899",391,172,266,92,53,NA,NA,71,213,53,43,364,34,143,21,218,"1,864",654,"1,239","1,737"
South_West,Somerset,"4,030",672,245,290,117,61,86,48,86,317,130,23,706,49,487,11,264,"3,951","1,251","2,080","3,535"
South_West,Cornwall and Isles of Scilly,"3,832",334,442,854,174,31,239,117,41,349,30,5,375,62,477,157,302,"3,782","1,612","2,530","3,540"
South_West,Plymouth,23,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,19,NA,14,18
South_West,Torbay,36,6,NA,NA,6,0,NA,NA,NA,NA,NA,0,NA,0,5,0,NA,33,13,17,26
South_West,Devon CC,"7,858",844,628,"1,033",451,92,80,139,148,634,77,13,986,67,723,15,332,"7,781","2,591","5,589","7,093"
